RespondentID,Age,Gender,HouseholdSize,Occupation,Q1_CurrentApproachNutritiousMeals,Q2_PrioritizeNutritionalNeeds,Q3_FactorsInfluencingPurchase,Q4_UsedMobilePlatformExperience,Q5_WillingnessToPayForService,Q6_ApproachEnsuringDiverseDiet,Q7_FactorsInfluencingChoices,Q8_UsedMobilePlatformsForPlanning,Q9_MissingFoodsInChildDiet,Q10_WillingnessToPayBundles,Q11_RecentFoodChoiceExperience,Q12_ChallengesProvidingNutritiousMeals,Q13_InfoSourcesForNutrition,Q14_FeaturesDesiredInMobilePlatform,Q15_WillingnessToPayEducationService
188,34,Female,5,Domestic worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.","Affordability always comes first, then nutrition if possible.",I prefer sellers who allow credit when I don’t have cash.,I don’t trust online platforms to deliver fresh food.,I cannot pay extra due to my low income.,"Cooking beans is my main strategy, though fuel costs are high.",I often choose based on convenience and distance.,I would use if bundles included affordable staple foods.,Vegetables other than sukuma wiki are not common in our meals.,200 KES weekly for consistent bundles is fair.,I chose milk over vegetables because my child was sick.,Limited availability of fresh foods in my area.,I listen to radio programs about child health.,Recipes using cheap ingredients would help me.,"I cannot pay extra, but free access would help."
189,42,Female,5,Domestic worker,I try to grow a few vegetables in sacks to supplement meals.,Vegetables like sukuma wiki are essential because they are relatively cheap.,Affordability is the main factor for me.,I would try if cash-on-delivery was an option.,I cannot pay extra due to my low income.,Limited income prevents me from achieving diversity regularly.,Freshness of food matters when I can afford it.,I would use if bundles included affordable staple foods.,Eggs are rare due to high cost.,I cannot afford more than 50 KES currently.,I chose milk over vegetables because my child was sick.,Fuel costs make cooking beans difficult.,I get advice from local clinics during checkups.,Simple interface easy for non-smartphone users.,I’d pay only if it reduces my expenses overall.
190,34,Female,4,Housewife,"I prioritize milk when I have money, even if I skip other foods myself.",I try to buy fruits occasionally when extra money is available.,I avoid foods that spoil too quickly.,Delivery fees are too high for me to consider using apps.,I cannot pay extra due to my low income.,I mix maize with sukuma and beans when possible.,Price is the strongest influence.,I would use if bundles included affordable staple foods.,Eggs are rare due to high cost.,150 KES weekly is reasonable if children’s diets improve.,I chose milk over vegetables because my child was sick.,Fuel costs make cooking beans difficult.,"I rarely use formal platforms, mostly word of mouth.",Nutrition education in local language is valuable.,"I cannot pay extra, but free access would help."
191,37,Male,6,Casual worker,"When income is very low, we reduce portion sizes to stretch food.",Sometimes I buy based on what children prefer to eat.,I buy based on what is available nearby.,I would try if cash-on-delivery was an option.,I cannot pay extra due to my low income.,"Cooking beans is my main strategy, though fuel costs are high.",Children’s preferences matter in my decisions.,Mobile platforms are confusing for me without training.,Fruits like bananas and oranges are not regular in our diet.,50 KES extra is my maximum for delivery.,Last week I bought beans instead of meat due to price.,Food spoils quickly without refrigeration.,I sometimes read posters in health centers.,Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
192,24,Female,3,Domestic worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I consider what lasts longer in storage when making decisions.,I buy based on what is available nearby.,I have never used a mobile platform because I lack a smartphone.,At most 100 KES weekly depending on my income.,I mix maize with sukuma and beans when possible.,Freshness of food matters when I can afford it.,I saw a neighbor use an app and it seemed useful.,Fruits like bananas and oranges are not regular in our diet.,100 KES weekly if delivery is reliable.,I chose milk over vegetables because my child was sick.,I lack stable income to plan meals regularly.,I sometimes read posters in health centers.,Nutrition education in local language is valuable.,I’d pay only if it reduces my expenses overall.
193,39,Female,7,Informal trader,"I prioritize milk when I have money, even if I skip other foods myself.",I prioritize milk and eggs for my children whenever I can afford them.,I prefer sellers who allow credit when I don’t have cash.,Delivery fees are too high for me to consider using apps.,150 KES weekly is fair if variety improves for children.,"I rotate between rice, ugali, and beans depending on prices.",Price is the strongest influence.,I would try if instructions were simple and in local language.,Vegetables other than sukuma wiki are not common in our meals.,150 KES weekly is reasonable if children’s diets improve.,Last week I bought beans instead of meat due to price.,Food spoils quickly without refrigeration.,I get advice from local clinics during checkups.,Simple interface easy for non-smartphone users.,50 KES maximum for an education service.
194,31,Male,6,Housewife,I try to grow a few vegetables in sacks to supplement meals.,I try to buy fruits occasionally when extra money is available.,Discounts and promotions influence my choice.,Delivery fees are too high for me to consider using apps.,50 KES extra for delivery would be acceptable.,"I rotate between rice, ugali, and beans depending on prices.",Freshness of food matters when I can afford it.,I have never used an app for food planning.,Vegetables other than sukuma wiki are not common in our meals.,50 KES extra is my maximum for delivery.,I bought maize flour in bulk because it was discounted.,High prices prevent me from buying protein foods.,"I rarely use formal platforms, mostly word of mouth.",Affordable bundle suggestions would attract me.,100 KES monthly if it helps improve diet.
195,36,Female,4,Informal trader,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I try to buy fruits occasionally when extra money is available.,Freshness and cleanliness of food are important.,I would try if cash-on-delivery was an option.,I cannot pay extra due to my low income.,"Cooking beans is my main strategy, though fuel costs are high.",I often choose based on convenience and distance.,I once used an SMS-based system but stopped due to cost.,Fruits like bananas and oranges are not regular in our diet.,200 KES weekly for consistent bundles is fair.,I opted for sukuma wiki as the cheapest option available.,High prices prevent me from buying protein foods.,I ask health workers when they visit.,Nutrition education in local language is valuable.,150 KES monthly is acceptable with clear benefits.
196,41,Female,7,Housewife,"When income is very low, we reduce portion sizes to stretch food.",I prioritize milk and eggs for my children whenever I can afford them.,I buy based on what is available nearby.,"I once tried ordering through a neighbor, but delivery was late.",I could pay up to 200 KES weekly if food quality is guaranteed.,I add dried fish occasionally for variety.,I buy foods that last longer in storage.,I once used an SMS-based system but stopped due to cost.,"Milk is often missing, which worries me for growth.",100 KES weekly if delivery is reliable.,I reduced portion sizes so all children could eat.,Limited availability of fresh foods in my area.,I ask health workers when they visit.,Recipes using cheap ingredients would help me.,I’d pay only if it reduces my expenses overall.
197,21,Female,4,Housewife,"When income is very low, we reduce portion sizes to stretch food.","Affordability always comes first, then nutrition if possible.",I buy based on what is available nearby.,I would try if cash-on-delivery was an option.,150 KES weekly is fair if variety improves for children.,"Cooking beans is my main strategy, though fuel costs are high.",Freshness of food matters when I can afford it.,Mobile platforms are confusing for me without training.,Vegetables other than sukuma wiki are not common in our meals.,100 KES weekly if delivery is reliable.,I reduced portion sizes so all children could eat.,Fuel costs make cooking beans difficult.,I get advice from local clinics during checkups.,Nutrition education in local language is valuable.,"I cannot pay extra, but free access would help."
198,32,Male,4,Small farmer,Beans and lentils are my main source of protein for the children.,Sometimes I buy based on what children prefer to eat.,Freshness and cleanliness of food are important.,I would try if cash-on-delivery was an option.,50 KES extra for delivery would be acceptable.,Limited income prevents me from achieving diversity regularly.,I often choose based on convenience and distance.,I would try if instructions were simple and in local language.,"Milk is often missing, which worries me for growth.",150 KES weekly is reasonable if children’s diets improve.,I opted for sukuma wiki as the cheapest option available.,I lack stable income to plan meals regularly.,"I rarely use formal platforms, mostly word of mouth.",Reminders for balanced meals would be useful.,150 KES monthly is acceptable with clear benefits.
199,26,Male,7,Housewife,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",Vegetables like sukuma wiki are essential because they are relatively cheap.,Affordability is the main factor for me.,I am interested but need help understanding how to use them.,I cannot pay extra due to my low income.,"Cooking beans is my main strategy, though fuel costs are high.",I buy foods that last longer in storage.,Mobile platforms are confusing for me without training.,Vegetables other than sukuma wiki are not common in our meals.,I would only pay if overall costs reduce my market spending.,I chose milk over vegetables because my child was sick.,Fuel costs make cooking beans difficult.,I get advice from local clinics during checkups.,Reminders for balanced meals would be useful.,100 KES monthly if it helps improve diet.
200,32,Male,4,Casual worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I try to buy fruits occasionally when extra money is available.,Affordability is the main factor for me.,"I once tried ordering through a neighbor, but delivery was late.",I could pay up to 200 KES weekly if food quality is guaranteed.,Limited income prevents me from achieving diversity regularly.,I often choose based on convenience and distance.,I would try if instructions were simple and in local language.,Fruits like bananas and oranges are not regular in our diet.,200 KES weekly for consistent bundles is fair.,I opted for sukuma wiki as the cheapest option available.,Markets are far and transport adds cost.,I listen to radio programs about child health.,Reminders for balanced meals would be useful.,200 KES monthly if it includes affordable bundles.
